_id,type,transaction_date,amount,status,medium,description,merchant_name,category,payer_id,payee_id,raw_source_table,raw_source_id,created_at
t_synthetic_income_2024-01,deposit,2024-01-01,13259.52,completed,direct_deposit,"Synthetic monthly income (~20% > avg spend, var 3.63%)",,deposit,onlyfans,account_123,transfer,synthetic_income_2024-01,2025-10-25T23:35:04.003009
t_synthetic_income_2024-02,deposit,2024-02-01,13142.02,completed,direct_deposit,"Synthetic monthly income (~20% > avg spend, var 2.72%)",,deposit,onlyfans,account_123,transfer,synthetic_income_2024-02,2025-10-25T23:35:04.003009
t_synthetic_income_2024-03,deposit,2024-03-01,13023.96,completed,direct_deposit,"Synthetic monthly income (~20% > avg spend, var 1.79%)",,deposit,onlyfans,account_123,transfer,synthetic_income_2024-03,2025-10-25T23:35:04.003009
t_synthetic_income_2024-04,deposit,2024-04-01,12840.74,completed,direct_deposit,"Synthetic monthly income (~20% > avg spend, var 0.36%)",,deposit,onlyfans,account_123,transfer,synthetic_income_2024-04,2025-10-25T23:35:04.003009
t_synthetic_income_2024-05,deposit,2024-05-01,13063.98,completed,direct_deposit,"Synthetic monthly income (~20% > avg spend, var 2.11%)",,deposit,onlyfans,account_123,transfer,synthetic_income_2024-05,2025-10-25T23:35:04.003009
t_synthetic_income_2024-06,deposit,2024-06-01,12201.81,completed,direct_deposit,"Synthetic monthly income (~20% > avg spend, var -4.63%)",,deposit,onlyfans,account_123,transfer,synthetic_income_2024-06,2025-10-25T23:35:04.003009
t_synthetic_income_2024-07,deposit,2024-07-01,13265.65,completed,direct_deposit,"Synthetic monthly income (~20% > avg spend, var 3.68%)",,deposit,onlyfans,account_123,transfer,synthetic_income_2024-07,2025-10-25T23:35:04.003009
t_synthetic_income_2024-08,deposit,2024-08-01,12376.21,completed,direct_deposit,"Synthetic monthly income (~20% > avg spend, var -3.27%)",,deposit,onlyfans,account_123,transfer,synthetic_income_2024-08,2025-10-25T23:35:04.003009
t_synthetic_income_2024-09,deposit,2024-09-01,12908.26,completed,direct_deposit,"Synthetic monthly income (~20% > avg spend, var 0.89%)",,deposit,onlyfans,account_123,transfer,synthetic_income_2024-09,2025-10-25T23:35:04.003009
t_synthetic_income_2024-10,deposit,2024-10-01,12459.86,completed,direct_deposit,"Synthetic monthly income (~20% > avg spend, var -2.62%)",,deposit,onlyfans,account_123,transfer,synthetic_income_2024-10,2025-10-25T23:35:04.003009
t_synthetic_income_2024-11,deposit,2024-11-01,13176.58,completed,direct_deposit,"Synthetic monthly income (~20% > avg spend, var 2.99%)",,deposit,onlyfans,account_123,transfer,synthetic_income_2024-11,2025-10-25T23:35:04.003009
t_synthetic_income_2024-12,deposit,2024-12-01,12168.7,completed,direct_deposit,"Synthetic monthly income (~20% > avg spend, var -4.89%)",,deposit,onlyfans,account_123,transfer,synthetic_income_2024-12,2025-10-25T23:35:04.003009
t_synthetic_income_2025-01,deposit,2025-01-01,12606.8,completed,direct_deposit,"Synthetic monthly income (~20% > avg spend, var -1.47%)",,deposit,onlyfans,account_123,transfer,synthetic_income_2025-01,2025-10-25T23:35:04.003009
t_synthetic_income_2025-02,deposit,2025-02-01,13350.28,completed,direct_deposit,"Synthetic monthly income (~20% > avg spend, var 4.34%)",,deposit,onlyfans,account_123,transfer,synthetic_income_2025-02,2025-10-25T23:35:04.003009
t_synthetic_income_2025-03,deposit,2025-03-01,12739.83,completed,direct_deposit,"Synthetic monthly income (~20% > avg spend, var -0.43%)",,deposit,onlyfans,account_123,transfer,synthetic_income_2025-03,2025-10-25T23:35:04.003009
t_synthetic_income_2025-04,deposit,2025-04-01,12419.56,completed,direct_deposit,"Synthetic monthly income (~20% > avg spend, var -2.93%)",,deposit,onlyfans,account_123,transfer,synthetic_income_2025-04,2025-10-25T23:35:04.003009
t_synthetic_income_2025-05,deposit,2025-05-01,12378.68,completed,direct_deposit,"Synthetic monthly income (~20% > avg spend, var -3.25%)",,deposit,onlyfans,account_123,transfer,synthetic_income_2025-05,2025-10-25T23:35:04.003009
t_synthetic_income_2025-06,deposit,2025-06-01,13116.09,completed,direct_deposit,"Synthetic monthly income (~20% > avg spend, var 2.51%)",,deposit,onlyfans,account_123,transfer,synthetic_income_2025-06,2025-10-25T23:35:04.003009
p_bce01a6ae8b8c6227cd4f1de751c017c,merchant,2024-01-01,-89.35,completed,balance,Amazon Fresh,Amazon Fresh,grocery_net,account_123,,purchase,bce01a6ae8b8c6227cd4f1de751c017c,2025-10-25T18:50:18.14712
p_26e9b361f78724f145faedaaad9da0c3,merchant,2024-01-01,-177.82,completed,balance,24 Hour Fitness,24 Hour Fitness,health_fitness,account_123,,purchase,26e9b361f78724f145faedaaad9da0c3,2025-10-25T18:50:18.14712
p_9c7f4171fce7111db34eb60f56d74b9b,merchant,2024-01-01,-3.89,completed,balance,Nike.com,Nike.com,shopping_net,account_123,,purchase,9c7f4171fce7111db34eb60f56d74b9b,2025-10-25T18:50:18.14712
p_1f58f90aa5eb9c06f066da77aaea5821,merchant,2024-01-01,-53.32,completed,balance,Peloton,Peloton,health_fitness,account_123,,purchase,1f58f90aa5eb9c06f066da77aaea5821,2025-10-25T18:50:18.14712
p_b380b0a10b77b658ed90c3bdc51278f9,merchant,2024-01-01,-1.03,completed,balance,Apple Store,Apple Store,shopping_pos,account_123,,purchase,b380b0a10b77b658ed90c3bdc51278f9,2025-10-25T18:50:18.14712
p_bee1f566f76e67dc69b386bbb702067f,merchant,2024-01-02,-40.87,completed,balance,Chevron,Chevron,gas_transport,account_123,,purchase,bee1f566f76e67dc69b386bbb702067f,2025-10-25T18:50:18.14712
p_f5c4fe8476b4092d3e9725d063ce1b62,merchant,2024-01-02,-5.03,completed,balance,PetSmart,PetSmart,kids_pets,account_123,,purchase,f5c4fe8476b4092d3e9725d063ce1b62,2025-10-25T18:50:18.14712
p_2052cfc507e2ddebb3743e165fca0137,merchant,2024-01-03,-36.45,completed,balance,Circle K,Circle K,gas_transport,account_123,,purchase,2052cfc507e2ddebb3743e165fca0137,2025-10-25T18:50:18.14712
p_bc262b605b3fe2f3910bffd632386e14,merchant,2024-01-03,-4.42,completed,balance,Shein,Shein,shopping_net,account_123,,purchase,bc262b605b3fe2f3910bffd632386e14,2025-10-25T18:50:18.14712
